001543777133954 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  2   4   1   0   1   0 ]
001543777134073 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  1   4   1   0   1   1 ]
001543777134079 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  1   4   1   0   1   1 ]
001543777134083 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  2   4   1   0   0   1 ]
001543777134083 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  2   3   0   1   0   1 ]
001543777134097 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  1   3   0   1   0   2 ]
001543777134246 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   3   0   1   0   3 ]
001543777134322 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   3   1   0   0   3 ]
001543777134322 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  1   2   0   1   0   3 ]
001543777134370 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   2   0   1   0   4 ]
001543777134399 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   2   0   1   0   4 ]
001543777134494 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   2   0   1   0   4 ]
001543777134513 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   2   0   1   0   4 ]
001543777134639 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   2   0   1   0   4 ]
001543777134656 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   2   0   1   0   4 ]
001543777134662 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   2   1   0   0   4 ]
001543777134663 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  1   1   0   1   0   4 ]
001543777134663 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   1   0   1   0   5 ]
001543777134747 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   1   0   1   0   5 ]
001543777134815 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |  false | [  0   1   0   1   0   5 ]
001543777134998 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   1   0   1   0   5 ]
001543777135031 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   1   0   1   0   5 ]
001543777135129 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |  false | [  0   1   0   1   0   5 ]
001543777135178 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   1   1   0   0   5 ]
001543777135178 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   2   1   0   0   5 ]
001543777135178 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  0   1   0   1   0   5 ]
001543777135280 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   1   1   0   0   5 ]
001543777135280 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   2   1   0   0   5 ]
001543777135280 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   1   4 ]
001543777135280 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   2   3 ]
001543777135281 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   3   2 ]
001543777135281 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   4   1 ]
001543777135281 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   5   0 ]
001543777135408 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   2   1   0   4   0 ]
001543777135408 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   2   1   0   4   1 ]
001543777135437 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   2   1   0   3   1 ]
001543777135438 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   2   1   0   3   2 ]
001543777135592 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   2   1   0   3   2 ]
001543777135592 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   2   1   0   2   2 ]
001543777135660 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  1   2   1   0   3   1 ]
