001543776260374 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   1   0   1   0   5 ]
001543776260478 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   1   0   1   0   5 ]
001543776260493 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   1   0   1   0   5 ]
001543776260516 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |  false | [  0   1   0   1   0   5 ]
001543776260519 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   1   1   0   0   5 ]
001543776260519 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   2   1   0   0   5 ]
001543776260519 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  0   1   0   1   0   5 ]
001543776260520 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   1   0   1   0   5 ]
001543776260542 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   1   0   1   0   5 ]
001543776260650 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   1   0   1   0   5 ]
001543776260762 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   1   0   1   0   5 ]
001543776260915 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   1   0   1   0   5 ]
001543776260920 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   1   1   0   0   5 ]
001543776260920 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  1   0   0   1   0   5 ]
001543776260920 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   0   0   1   0   6 ]
001543776260943 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |  false | [  0   0   0   1   0   6 ]
001543776261151 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   0   1   0   0   6 ]
001543776261151 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   1   1   0   0   6 ]
001543776261152 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   1   1   0   1   5 ]
001543776261152 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   1   1   0   2   4 ]
001543776261152 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   1   1   0   3   3 ]
001543776261152 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   1   1   0   4   2 ]
001543776261152 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   1   1   0   5   1 ]
001543776261329 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   1   1   0   4   1 ]
001543776261329 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   1   1   0   4   2 ]
001543776261335 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   1   1   0   3   2 ]
001543776261378 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  2   1   1   0   2   2 ]
001543776261394 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  1   2   1   0   2   2 ]
001543776261447 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  2   2   1   0   1   2 ]
001543776261480 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  2   2   1   0   2   1 ]
001543776261557 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  2   2   1   0   3   0 ]
001543776261607 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  2   2   1   0   3   0 ]
001543776261621 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  3   2   1   0   2   0 ]
001543776261653 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  4   2   1   0   1   0 ]
001543776261835 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  5   2   1   0   0   0 ]
001543776261835 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  5   1   0   1   0   0 ]
001543776261878 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  4   1   0   1   0   1 ]
001543776261918 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  3   2   0   1   0   1 ]
001543776261926 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  3   2   0   1   0   1 ]
001543776262033 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  2   2   0   1   0   2 ]
001543776262094 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  3   2   1   0   0   2 ]
001543776262094 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  3   1   0   1   0   2 ]
001543776262200 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  2   1   0   1   0   3 ]
001543776262215 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  2   1   0   1   0   3 ]
001543776262222 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  1   1   0   1   0   4 ]
001543776262252 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   2   0   1   0   4 ]
001543776262289 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   2   0   1   0   4 ]
001543776262337 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   2   0   1   0   4 ]
001543776262360 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   2   0   1   0   4 ]
001543776262366 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   2   0   1   0   4 ]
001543776262435 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   2   0   1   0   4 ]
001543776262541 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   2   1   0   0   4 ]
001543776262542 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  1   1   0   1   0   4 ]
001543776262542 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   1   0   1   0   5 ]
001543776262592 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |  false | [  0   1   0   1   0   5 ]
001543776262601 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   1   0   1   0   5 ]
001543776262652 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   1   0   1   0   5 ]
001543776262746 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   1   0   1   0   5 ]
001543776262837 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |  false | [  0   1   0   1   0   5 ]
001543776263075 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   1   0   1   0   5 ]
001543776263090 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   1   1   0   0   5 ]
001543776263090 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   2   1   0   0   5 ]
001543776263090 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  0   1   0   1   0   5 ]
001543776263384 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   1   1   0   0   5 ]
001543776263384 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   2   1   0   0   5 ]
001543776263384 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   1   4 ]
001543776263384 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   2   3 ]
001543776263384 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   3   2 ]
001543776263385 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   4   1 ]
001543776263385 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   2   1   0   5   0 ]
001543776263504 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   2   1   0   5   0 ]
001543776263642 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   2   1   0   5   0 ]
001543776263721 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   2   1   0   4   0 ]
001543776263722 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   2   1   0   4   1 ]
001543776263740 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   2   1   0   3   1 ]
001543776263741 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   2   1   0   3   2 ]
001543776263811 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   2   1   0   2   2 ]
001543776263870 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  2   2   1   0   1   2 ]
001543776263874 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  1   3   1   0   1   2 ]
001543776263932 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  0   4   1   0   1   2 ]
001543776263973 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   4   1   0   0   2 ]
001543776263973 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  1   3   0   1   0   2 ]
001543776263977 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  1   3   0   1   0   2 ]
001543776264114 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  2   3   1   0   0   2 ]
001543776264114 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  2   2   0   1   0   2 ]
001543776264146 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  2   2   0   1   0   2 ]
001543776264325 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  2   2   0   1   0   2 ]
001543776264330 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  1   2   0   1   0   3 ]
